MONTH,SUPPLIER,FACTORY,COUNTRY,DPN,LOB,WATT_LEVEL,LR,CONSUMPTION,VID,CND,PID
JA,A,Brasilia,Brazil,7FHHV,Consumer,Medium,0,35,0,0,0
JA,A,Brasilia,Brazil,7FHHV,Consumer,Medium,0,50,0,0,0
JA,A,Brasilia,Brazil,7FHHV,Commercial,Medium,0,158,0,0,0
JA,A,Chengdu,China,7FHHV,Consumer,Medium,0,1,0,0,0
JA,A,Chengdu,China,7FHHV,Commercial,Medium,0,1,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,3801,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,3999,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,5048,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,1196,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,764,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,27,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,299,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,5,0,0,0
JA,A,Chengdu,China,FW8KR,Commercial,Low,0,83,0,0,0
JA,A,Chengdu,China,FW8KR,Commercial,Low,0,980,0,0,0
JA,A,Chengdu,China,FW8KR,Commercial,Low,0,64,0,0,0
JA,A,Chengdu,China,FW8KR,Commercial,Low,0,464,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,289,0,0,0
JA,A,Kunshan,China,9W9MX,Commercial,Low,0,20,0,0,0
JA,A,Kunshan,China,9W9MX,Commercial,Low,0,729,0,0,0
JA,A,Kunshan,China,9W9MX,Commercial,Low,0,17,0,0,0
JA,A,Kunshan,China,9W9MX,Commercial,Low,0,752,0,0,0
JA,A,Kunshan,China,9W9MX,Commercial,Low,0,13,0,0,0
JA,A,Kunshan,China,9W9MX,Commercial,Low,0,668,0,0,0
JA,A,Kunshan,China,CP6DF,Consumer,Medium,0,31,0,0,0
JA,A,Kunshan,China,CP6DF,Consumer,Medium,0,3,0,0,0
JA,A,Kunshan,China,CP6DF,Consumer,Medium,0,192,0,0,0
JA,A,Kunshan,China,CP6DF,Consumer,Medium,0,307,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,1,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,21,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,89,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,243,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,71,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,849,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,112,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,20,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,817,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,338,0,0,0
JA,A,Kunshan,China,DJWGP,Commercial,Medium,0,52,0,0,0
JA,A,Kunshan,China,FW8KR,Commercial,Low,0,16,0,0,0
JA,A,Kunshan,China,FW8KR,Commercial,Low,0,684,0,0,0
JA,A,Kunshan,China,FW8KR,Commercial,Low,0,883,0,0,0
JA,A,Kunshan,China,FY8XM,Commercial,Low,0,271,0,0,0
JA,A,Kunshan,China,FY8XM,Commercial,Low,0,1,0,0,0
JA,A,Kunshan,China,FY8XM,Commercial,Low,0,492,0,0,0
JA,A,Kunshan,China,FY8XM,Commercial,Low,0,192,0,0,0
JA,A,Kunshan,China,GHXKY,Consumer,Medium,0,15,0,0,0
JA,A,Kunshan,China,GHXKY,Consumer,Medium,0,274,0,0,0
JA,A,Kunshan,China,GHXKY,Consumer,Medium,0,54,0,0,0
JA,A,Kunshan,China,GW0K9,Consumer,High,0,3,0,0,0
JA,A,Kunshan,China,GW0K9,Consumer,High,0,328,0,0,0
JA,A,Kunshan,China,GW0K9,Consumer,High,0,7,0,0,0
JA,A,Kunshan,China,GW0K9,Consumer,High,0,155,0,0,0
JA,A,Kunshan,China,KCM82,Commercial,Medium,0,14,0,0,0
